season,week,game_id,home_team,away_team,point_diff,off_yards_gained_h,off_yards_gained_a,off_pass_yards_h,off_pass_yards_a,off_rush_yards_h,off_rush_yards_a,off_turnovers_h,off_turnovers_a,off_touchdowns_h,off_touchdowns_a,off_epa_per_play_h,off_epa_per_play_a,def_epa_per_play_h,def_epa_per_play_a,off_wpa_h,off_wpa_a,def_wpa_h,def_wpa_a,off_cpoe_h,off_cpoe_a,off_success_rate_h,off_success_rate_a,off_qb_epa_h,off_qb_epa_a,def_sacks_h,def_sacks_a,def_qb_hits_h,def_qb_hits_a,off_red_zone_td_rate_h,off_red_zone_td_rate_a,off_third_down_conv_rate_h,off_third_down_conv_rate_a,off_fourth_down_conv_rate_h,off_fourth_down_conv_rate_a,off_first_downs_h,off_first_downs_a,off_pass_rate_h,off_pass_rate_a,off_shotgun_rate_h,off_shotgun_rate_a,off_no_huddle_rate_h,off_no_huddle_rate_a,timeouts_remaining_h,timeouts_remaining_a,score_differential_pre,total_plays,first_half_plays,second_half_plays,overtime_plays,roof,surface,home_win,away_wins,tie_flag,home_team_wins_10season,away_team_wins_10season,ties_10season,home_win_streak_last_3,home_losing_streak_last_3,home_points_scored_last_3,home_points_allowed_last_3,home_wins_to_date,home_losses_to_date,home_ties_to_date,away_win_streak_last_3,away_losing_streak_last_3,away_points_scored_last_3,away_points_allowed_last_3,away_wins_to_date,away_losses_to_date,away_ties_to_date,same_conference,same_division,special_game,gameday,gametime,spread_line,total_line,outdoor_game
2024,2,2024_02_CLE_JAX,JAX,CLE,-5.0,323.0,297.0,241.0,180.0,82.0,117.0,201.0,186.0,1.0,1.0,-0.035,0.048,0.048,-0.035,-0.389,0.157,0.157,-0.389,-9.224,-0.459,0.459,0.443,-2.555,4.213,2.0,4.0,8.0,7.0,0.0,0.0,0.041,0.023,0.0,0.035,18.0,17.0,0.533,0.477,0.613,0.557,0.133,0.011,0.0,0.0,-0.552,176,76,100,0,outdoors,grass,0,1,0,2,2,0,1.0,2.0,21.0,16.0,0.0,1.0,0.0,1.0,2.0,22.667,28.0,0.0,1.0,0.0,True,False,False,2024-09-15,13:00,3.0,41.5,True
2024,2,2024_02_IND_GB,GB,IND,6.0,383.0,338.0,149.0,230.0,234.0,108.0,202.0,186.0,1.0,1.0,0.001,-0.098,-0.098,0.001,0.14,-0.314,-0.314,0.14,20.779,-8.146,0.398,0.464,0.078,-6.761,1.0,0.0,3.0,0.0,0.0,0.0,0.122,0.029,0.0,0.015,19.0,19.0,0.226,0.551,0.738,0.768,0.012,0.232,0.0,0.0,-0.281,161,72,89,0,outdoors,grass,1,0,0,0,2,0,2.0,1.0,26.333,17.667,0.0,1.0,0.0,1.0,2.0,23.0,24.0,0.0,1.0,0.0,False,False,False,2024-09-15,13:00,-3.0,41.5,True
2024,2,2024_02_LAC_CAR,CAR,LAC,-23.0,159.0,349.0,75.0,138.0,84.0,215.0,201.0,187.0,0.0,3.0,-0.383,0.055,0.055,-0.383,-0.523,0.043,0.043,-0.523,-6.464,7.658,0.308,0.512,-24.913,4.394,1.0,2.0,2.0,2.0,0.0,0.0,0.016,0.114,0.016,0.0,7.0,20.0,0.477,0.296,0.677,0.469,0.169,0.0,0.0,1.0,-0.164,155,77,78,0,outdoors,grass,0,1,0,2,0,0,0.0,3.0,3.333,27.333,0.0,1.0,0.0,1.0,2.0,14.333,13.0,1.0,0.0,0.0,False,False,False,2024-09-15,13:00,-5.0,39.0,True
2024,2,2024_02_LA_ARI,ARI,LA,31.0,489.0,245.0,307.0,192.0,182.0,53.0,202.0,187.0,5.0,1.0,0.322,-0.144,-0.144,0.322,0.231,-0.202,-0.202,0.231,17.547,1.407,0.588,0.53,25.732,-9.52,5.0,1.0,9.0,1.0,0.001,0.0,0.09,0.03,0.0,0.015,24.0,14.0,0.338,0.478,0.462,0.582,0.038,0.149,3.0,3.0,0.687,152,83,69,0,closed,grass,1,0,0,6,14,0,1.0,2.0,27.667,28.667,0.0,1.0,0.0,2.0,1.0,22.333,23.667,0.0,1.0,0.0,True,True,False,2024-09-15,16:05,-1.0,47.5,False
2024,2,2024_02_LV_BAL,BAL,LV,-3.0,358.0,260.0,249.0,233.0,109.0,28.0,201.0,186.0,2.0,2.0,-0.035,0.03,0.03,-0.035,-0.262,0.306,0.306,-0.262,-0.557,15.884,0.455,0.494,-3.037,2.381,5.0,2.0,9.0,2.0,0.001,0.001,0.035,0.051,0.012,0.0,20.0,18.0,0.427,0.582,0.652,0.658,0.045,0.089,0.0,0.0,-1.333,180,88,92,0,outdoors,grass,0,1,0,2,3,0,1.0,2.0,28.667,21.0,0.0,1.0,0.0,1.0,2.0,19.0,19.667,0.0,1.0,0.0,True,False,False,2024-09-15,13:00,9.0,41.0,True
2024,2,2024_02_NO_DAL,DAL,NO,-25.0,353.0,432.0,293.0,242.0,60.0,193.0,201.0,186.0,1.0,6.0,-0.074,0.338,0.338,-0.074,0.144,0.711,0.711,0.144,-2.21,3.058,0.46,0.597,-6.453,24.301,1.0,3.0,1.0,2.0,0.0,0.001,0.071,0.069,0.012,0.0,20.0,24.0,0.563,0.26,0.621,0.164,0.103,0.0,3.0,3.0,-2.238,168,97,71,0,closed,matrixturf,0,1,0,3,2,0,3.0,0.0,30.333,15.333,1.0,0.0,0.0,3.0,0.0,39.333,13.333,1.0,0.0,0.0,True,False,False,2024-09-15,13:00,6.5,47.0,False
2024,2,2024_02_NYG_WAS,WAS,NYG,3.0,425.0,304.0,243.0,181.0,184.0,123.0,201.0,187.0,0.0,3.0,0.133,0.09,0.09,0.133,0.839,0.431,0.431,0.839,6.406,-3.138,0.472,0.456,11.825,6.11,1.0,5.0,4.0,7.0,0.0,0.001,0.08,0.06,0.011,0.015,22.0,18.0,0.456,0.485,0.767,0.412,0.444,0.088,1.0,0.0,-1.215,170,83,87,0,outdoors,grass,1,0,0,6,13,1,0.0,3.0,13.333,34.0,0.0,1.0,0.0,1.0,2.0,19.333,21.333,0.0,1.0,0.0,True,True,False,2024-09-15,13:00,1.5,42.5,True
2024,2,2024_02_NYJ_TEN,TEN,NYJ,-7.0,300.0,265.0,206.0,166.0,94.0,100.0,202.0,186.0,2.0,3.0,-0.066,0.087,0.087,-0.066,-0.057,0.478,0.478,-0.057,6.957,-8.622,0.462,0.459,-5.312,6.405,2.0,4.0,3.0,6.0,0.0,0.001,0.063,0.069,0.0,0.0,18.0,16.0,0.475,0.453,0.488,0.533,0.025,0.027,1.0,1.0,-1.361,166,78,88,0,outdoors,grass,0,1,0,1,3,0,1.0,2.0,16.0,23.333,0.0,1.0,0.0,1.0,2.0,18.667,24.0,0.0,1.0,0.0,True,False,False,2024-09-15,13:00,-3.5,41.5,True
2024,2,2024_02_PIT_DEN,DEN,PIT,-7.0,295.0,251.0,238.0,137.0,57.0,114.0,201.0,186.0,0.0,1.0,-0.12,-0.009,-0.009,-0.12,-0.448,0.098,0.098,-0.448,-4.337,7.404,0.447,0.378,-9.117,-0.775,2.0,2.0,6.0,7.0,0.0,0.0,0.028,0.049,0.014,0.0,13.0,16.0,0.571,0.402,0.649,0.415,0.13,0.22,0.0,1.0,-0.667,172,78,94,0,outdoors,grass,0,1,0,1,3,0,1.0,2.0,16.667,20.667,0.0,1.0,0.0,3.0,0.0,21.667,14.333,1.0,0.0,0.0,True,False,False,2024-09-15,16:25,-3.0,36.5,True
2024,2,2024_02_SEA_NE,NE,SEA,-3.0,310.0,358.0,131.0,317.0,179.0,42.0,201.0,186.0,2.0,2.0,0.027,0.061,0.061,0.027,0.031,0.657,0.657,0.031,-4.118,8.508,0.488,0.529,2.281,5.332,3.0,3.0,5.0,7.0,0.001,0.0,0.071,0.081,0.0,0.012,19.0,18.0,0.379,0.586,0.437,0.655,0.057,0.184,1.0,2.0,-0.787,189,92,81,16,outdoors,fieldturf,0,1,0,0,2,0,1.0,2.0,13.333,18.0,1.0,0.0,0.0,2.0,1.0,23.333,23.333,1.0,0.0,0.0,False,False,False,2024-09-15,13:00,-3.5,39.0,True
2024,2,2024_02_SF_MIN,MIN,SF,6.0,403.0,396.0,291.0,306.0,114.0,90.0,202.0,187.0,2.0,2.0,-0.054,-0.133,-0.133,-0.054,0.126,-0.296,-0.296,0.126,0.706,8.45,0.529,0.494,1.969,-11.31,6.0,4.0,7.0,6.0,0.0,0.001,0.103,0.024,0.0,0.012,17.0,23.0,0.449,0.518,0.377,0.506,0.101,0.047,1.0,0.0,-1.708,166,84,82,0,dome,sportturf,1,0,0,2,2,0,1.0,2.0,19.333,23.0,1.0,0.0,0.0,2.0,1.0,26.333,16.667,1.0,0.0,0.0,True,False,False,2024-09-15,13:00,-4.5,46.5,False
2024,2,2024_02_TB_DET,DET,TB,-4.0,463.0,216.0,329.0,170.0,134.0,47.0,201.0,186.0,1.0,2.0,-0.082,-0.019,-0.019,-0.082,-0.644,-0.118,-0.118,-0.644,-3.197,-7.937,0.45,0.46,-8.158,-1.18,5.0,0.0,5.0,10.0,0.0,0.0,0.071,0.032,0.031,0.0,25.0,14.0,0.58,0.438,0.57,0.5,0.03,0.0,0.0,1.0,-2.024,176,88,88,0,dome,fieldturf,0,1,0,3,2,0,2.0,1.0,25.0,20.0,1.0,0.0,0.0,2.0,1.0,19.667,14.333,1.0,0.0,0.0,True,False,False,2024-09-15,13:00,7.5,51.5,False
2024,3,2024_03_BAL_DAL,DAL,BAL,-3.0,412.0,456.0,367.0,188.0,45.0,270.0,202.0,186.0,3.0,4.0,0.063,0.125,0.125,0.063,0.066,0.558,0.558,0.066,-10.796,4.397,0.412,0.469,10.971,10.146,0.0,3.0,1.0,7.0,0.001,0.001,0.074,0.049,0.0,0.0,26.0,24.0,0.66,0.22,0.649,0.5,0.186,0.037,0.0,3.0,-1.648,187,91,96,0,closed,matrixturf,0,1,0,1,1,0,2.0,1.0,30.0,23.667,1.0,1.0,0.0,0.0,3.0,17.667,23.333,0.0,2.0,0.0,False,False,False,2024-09-22,16:25,-1.5,47.5,False
